"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"(Without project)","(Without client)","School work ","00:00:27","0.0075","0.0"
"Acsu work","(Without client)","Acsu meeting","01:05:00","1.0833333333333333","0.0"
"Bedtime/Sleep","(Without client)","Sleep","07:12:00","7.2","0.0"
"Clubs","(Without client)","Electronics Club","01:19:00","1.3166666666666667","0.0"
"Dinner","(Without client)","Dinner","01:09:00","1.15","0.0"
"Lunch","(Without client)","Lunch","01:00:00","1.0","0.0"
"Morning/Nighttime routine","(Without client)","face mask","00:17:00","0.2833333333333333","0.0"
"School work","(Without client)","School Projects/Work","04:28:08","4.4688888888888885","0.0"
"School work","(Without client)","Proofs homework","01:36:00","1.6","0.0"
"Working out","(Without client)","Yoga","01:15:00","1.25","0.0"
