"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Bedtime/Sleep","(Without client)","Sleep","06:27:00","6.45","0.0"
"Bedtime/Sleep","(Without client)","Bed","00:00:41","0.01138888888888889","0.0"
"Bedtime/Sleep","(Without client)","Sleeping","00:14:00","0.23333333333333334","0.0"
"Breakfast","(Without client)","Breakfast","00:23:00","0.38333333333333336","0.0"
"Classes","(Without client)","Stats hw","00:39:17","0.6547222222222222","0.0"
"Classes","(Without client)","Math class + Compsci class","02:10:45","2.1791666666666667","0.0"
"Classes","(Without client)","Class","01:05:03","1.0841666666666667","0.0"
"Dance Practice - Choreographing","(Without client)","dancing","00:38:00","0.6333333333333333","0.0"
"Lunch","(Without client)","Lunch","00:34:07","0.5686111111111111","0.0"
"Miscellaneous/Unindentified","(Without client)","IDK","00:46:36","0.7766666666666666","0.0"
"Miscellaneous/Unindentified","(Without client)","Showering?","01:15:00","1.25","0.0"
"Office Hours","(Without client)","Proofs office hours","00:53:39","0.8941666666666667","0.0"
"Pause","(Without client)","Pause","00:16:22","0.2727777777777778","0.0"
"Personal work","(Without client)","Administrative stuffs","01:51:12","1.8533333333333333","0.0"
"School work","(Without client)","Stats project","01:49:27","1.8241666666666667","0.0"
"School work","(Without client)","Proofs prep","00:38:34","0.6427777777777778","0.0"
"School work","(Without client)","Maths hw","00:58:45","0.9791666666666666","0.0"
"School work","(Without client)","Pre-Class studying","00:40:41","0.6780555555555555","0.0"
"Work shift","(Without client)","Work","01:00:00","1.0","0.0"
