"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"(Without project)","(Without client)","Data Sc","00:02:11","0.03638888888888889","0.0"
"Acsu work","(Without client)","Acsu meeting","01:00:00","1.0","0.0"
"Bedtime/Sleep","(Without client)","Sleep","07:10:00","7.166666666666667","0.0"
"Breakfast","(Without client)","Breakfast","00:42:00","0.7","0.0"
"Clubs","(Without client)","Remnant","01:13:00","1.2166666666666666","0.0"
"Dance Practice - Choreographing","(Without client)","Dance practice","00:45:00","0.75","0.0"
"Dinner","(Without client)","Dinner","00:15:00","0.25","0.0"
"Events","(Without client)","Fest","00:48:00","0.8","0.0"
"Lunch","(Without client)","Lunch","00:35:00","0.5833333333333334","0.0"
"Miscellaneous/Unindentified","(Without client)","(Without description)","00:45:00","0.75","0.0"
"Morning/Nighttime routine","(Without client)","Morning routine","00:45:00","0.75","0.0"
"School work","(Without client)","School work","00:55:00","0.9166666666666666","0.0"
"School work","(Without client)","Study session","03:18:00","3.3","0.0"
"Working out","(Without client)","Pilates","01:10:00","1.1666666666666667","0.0"
