"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Bedtime/Sleep","(Without client)","Bed time","06:00:00","6.0","0.0"
"Dinner","(Without client)","Dinner with friends","00:45:00","0.75","0.0"
"Documentary/Documentary","(Without client)","Documentary ~ Entertainement","01:47:00","1.7833333333333334","0.0"
"Lunch","(Without client)","Lunch","00:35:00","0.5833333333333334","0.0"
"Miscellaneous/Unindentified","(Without client)","Nothing~","01:00:00","1.0","0.0"
"Pause","(Without client)","Coffee Pause with Jo","00:29:00","0.48333333333333334","0.0"
"Personal work","(Without client)","personal stuffs","00:35:00","0.5833333333333334","0.0"
"School work","(Without client)","Study session1~ Proofs","01:30:00","1.5","0.0"
"School work","(Without client)","Study session2","02:31:00","2.5166666666666666","0.0"
"Socializing","(Without client)","Socializing ~ Game night","03:20:00","3.3333333333333335","0.0"
"Working out","(Without client)","Pilates","01:15:00","1.25","0.0"
