"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Bedtime/Sleep","(Without client)","Sleeping ~ Bed Time","06:50:00","6.833333333333333","0.0"
"Bedtime/Sleep","(Without client)","Bed","00:27:58","0.4661111111111111","0.0"
"Books","(Without client)","Book","01:19:26","1.323888888888889","0.0"
"Classes","(Without client)","Parallel and Distributed Computing","01:00:00","1.0","0.0"
"Classes","(Without client)","Class","00:48:56","0.8155555555555556","0.0"
"Dinner","(Without client)","Dinner","01:15:47","1.2630555555555556","0.0"
"Lunch","(Without client)","Early lunch","00:40:22","0.6727777777777778","0.0"
"Personal work","(Without client)","Applications","01:30:00","1.5","0.0"
"Personal work","(Without client)","Writing","03:14:09","3.2358333333333333","0.0"
"School work","(Without client)","Stats hw","01:00:00","1.0","0.0"
"School work","(Without client)","Hws","00:25:05","0.41805555555555557","0.0"
"School work","(Without client)","Stats lab for 1h30mins","01:34:14","1.5705555555555555","0.0"
"Sick","(Without client)","Anemia resurfacing","02:15:00","2.25","0.0"
