"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"(Without project)","(Without client)","Book1: ngugi wa thiong'o","00:00:11","0.0030555555555555557","0.0"
"Bedtime/Sleep","(Without client)","Night routine+ bed","06:35:56","6.598888888888889","0.0"
"Books","(Without client)","Readings","00:29:35","0.4930555555555556","0.0"
"Breakfast","(Without client)","Breakfast (take_out)","00:10:02","0.16722222222222222","0.0"
"Classes","(Without client)","Data Science","01:20:31","1.3419444444444444","0.0"
"Dance Practice - Choreographing","(Without client)","Dancing","00:11:00","0.18333333333333332","0.0"
"Lunch","(Without client)","Lunch","01:00:10","1.0027777777777778","0.0"
"Miscellaneous/Unindentified","(Without client)","Class work? Distraction","01:00:00","1.0","0.0"
"Miscellaneous/Unindentified","(Without client)","Dance choreographing","02:00:00","2.0","0.0"
"Miscellaneous/Unindentified","(Without client)","Relax","00:53:23","0.8897222222222222","0.0"
"Miscellaneous/Unindentified","(Without client)","nothing","00:30:00","0.5","0.0"
"Morning/Nighttime routine","(Without client)","Morning routine","00:48:10","0.8027777777777778","0.0"
"Office Hours","(Without client)","Office hours","00:58:19","0.9719444444444445","0.0"
"School work","(Without client)","Stats_study_sesh","01:07:33","1.1258333333333332","0.0"
"School work","(Without client)","Lab ~ Stats hw","02:12:32","2.2088888888888887","0.0"
"School work","(Without client)","SDS Fellows","01:26:16","1.4377777777777778","0.0"
"Work shift","(Without client)","Job","01:17:00","1.2833333333333334","0.0"
