"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Bedtime/Sleep","(Without client)","Sleep","07:36:00","7.6","0.0"
"Breakfast","(Without client)","Breakfast","00:30:00","0.5","0.0"
"Classes","(Without client)","Stats class","01:20:00","1.3333333333333333","0.0"
"Dinner","(Without client)","Dinner","01:00:00","1.0","0.0"
"Events","(Without client)","Slam poetry","03:15:00","3.25","0.0"
"Lunch","(Without client)","Lunch","00:26:00","0.43333333333333335","0.0"
"Miscellaneous/Unindentified","(Without client)","(Without description)","00:30:00","0.5","0.0"
"Morning/Nighttime routine","(Without client)","Breakfast+ morning routine","00:31:00","0.5166666666666667","0.0"
"Office Hours","(Without client)","Office hours Compsci","01:00:00","1.0","0.0"
"Office Hours","(Without client)","Office hours","00:30:00","0.5","0.0"
"Personal work","(Without client)","Personal things + email","00:32:00","0.5333333333333333","0.0"
"Personal work","(Without client)","Personal work","00:50:00","0.8333333333333334","0.0"
"School work","(Without client)","Readings","00:45:00","0.75","0.0"
"School work","(Without client)","Homework","00:33:00","0.55","0.0"
"School work","(Without client)","Parallel hw","01:00:00","1.0","0.0"
"Work shift","(Without client)","Work shift","01:10:00","1.1666666666666667","0.0"
