"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Bedtime/Sleep","(Without client)","Sleep","00:02:00","0.03333333333333333","0.0"
"Bedtime/Sleep","(Without client)","Sleeping","06:45:00","6.75","0.0"
"Classes","(Without client)","Class","01:22:35","1.3763888888888889","0.0"
"Dinner","(Without client)","Dinner_Val","00:52:27","0.8741666666666666","0.0"
"Dinner","(Without client)","Dinner_president's_office","02:06:45","2.1125","0.0"
"Lunch","(Without client)","Lunch","00:53:59","0.8997222222222222","0.0"
"Morning/Nighttime routine","(Without client)","Morning routine","00:52:56","0.8822222222222222","0.0"
"Morning/Nighttime routine","(Without client)","Bedtime routine","01:00:00","1.0","0.0"
"Office Hours","(Without client)","Office hours","01:13:59","1.2330555555555556","0.0"
"Office Hours","(Without client)","Office hours for Maths exam","00:35:00","0.5833333333333334","0.0"
"School work","(Without client)","Compsci hw","02:10:00","2.1666666666666665","0.0"
"School work","(Without client)","Maths_exam","02:17:00","2.283333333333333","0.0"
"Work shift","(Without client)","Work","01:20:07","1.3352777777777778","0.0"
