"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Acsu work","(Without client)","Acus weekly meeting","02:11:04","2.1844444444444444","0.0"
"Acsu work","(Without client)","Acsu work","01:08:34","1.1427777777777777","0.0"
"Bedtime/Sleep","(Without client)","Sleep","07:12:08","7.202222222222222","0.0"
"Books","(Without client)","Book1: ngugi wa thiong'o","00:34:19","0.5719444444444445","0.0"
"Books","(Without client)","Book reading","00:27:11","0.45305555555555554","0.0"
"Classes","(Without client)","Class","01:27:25","1.4569444444444444","0.0"
"Dinner","(Without client)","Dinner","00:19:56","0.3322222222222222","0.0"
"Lunch","(Without client)","Lunch","00:42:07","0.7019444444444445","0.0"
"Morning/Nighttime routine","(Without client)","Morning routine+ breakfast","00:45:35","0.7597222222222222","0.0"
"Office Hours","(Without client)","Office hours","00:38:35","0.6430555555555556","0.0"
"Personal work","(Without client)","Applications","00:55:24","0.9233333333333333","0.0"
"Personal work","(Without client)","Readings","00:40:09","0.6691666666666667","0.0"
"School work","(Without client)","Library_study_sesh","03:28:05","3.4680555555555554","0.0"
"School work","(Without client)","Maths class","01:08:57","1.1491666666666667","0.0"
"School work","(Without client)","Maths hw","01:54:46","1.9127777777777777","0.0"
"Socializing","(Without client)","Time with friends","00:58:00","0.9666666666666667","0.0"
