"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Bedtime/Sleep","(Without client)","Bedtime","06:52:59","6.883055555555556","0.0"
"Breakfast","(Without client)","Breakfast","00:49:44","0.8288888888888889","0.0"
"Classes","(Without client)","Stats class","01:24:48","1.4133333333333333","0.0"
"Dinner","(Without client)","Dinner","01:15:00","1.25","0.0"
"Lunch","(Without client)","Lunch","00:42:01","0.7002777777777778","0.0"
"Miscellaneous/Unindentified","(Without client)","IDK","00:16:00","0.26666666666666666","0.0"
"Miscellaneous/Unindentified","(Without client)","Relax","00:20:53","0.34805555555555556","0.0"
"Miscellaneous/Unindentified","(Without client)","Walk","00:16:18","0.27166666666666667","0.0"
"Morning/Nighttime routine","(Without client)","Morning routine","00:54:21","0.9058333333333334","0.0"
"Off Campus Time","(Without client)","Town","00:50:00","0.8333333333333334","0.0"
"Personal work","(Without client)","Personal Project","01:04:10","1.0694444444444444","0.0"
"Personal work","(Without client)","Presentation II","01:53:26","1.8905555555555555","0.0"
"School work","(Without client)","Homeworks","03:09:43","3.1619444444444444","0.0"
"Work shift","(Without client)","Work shift","01:15:39","1.2608333333333333","0.0"
