"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Bedtime/Sleep","(Without client)","Sleep","07:25:00","7.416666666666667","0.0"
"Books","(Without client)","Book reading","00:33:00","0.55","0.0"
"Classes","(Without client)","Class","00:58:00","0.9666666666666667","0.0"
"Classes","(Without client)","Parallel and Distributed Computing","00:50:00","0.8333333333333334","0.0"
"Dinner","(Without client)","Ordering out/dinner","00:25:00","0.4166666666666667","0.0"
"Documentary/Documentary","(Without client)","Documentary","00:35:00","0.5833333333333334","0.0"
"Miscellaneous/Unindentified","(Without client)","Empty field?","01:20:00","1.3333333333333333","0.0"
"Naps","(Without client)","Napping//I was sick","01:00:00","1.0","0.0"
"Office Hours","(Without client)","Parallel and Distributed office hours","01:03:00","1.05","0.0"
"School work","(Without client)","School work","04:22:00","4.366666666666666","0.0"
"Work shift","(Without client)","(Without description)","01:30:00","1.5","0.0"
"Work shift","(Without client)","TA-ing","00:50:00","0.8333333333333334","0.0"
