"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Bedtime/Sleep","(Without client)","Sleeping","06:45:00","6.75","0.0"
"Classes","(Without client)","Compsci class","01:00:00","1.0","0.0"
"Classes","(Without client)","Maths class","01:05:00","1.0833333333333333","0.0"
"Classes","(Without client)","Class","00:53:24","0.89","0.0"
"Clubs","(Without client)","CS talk","00:57:00","0.95","0.0"
"Events (on campus)","(Without client)","Public Speaking","00:48:00","0.8","0.0"
"Lunch","(Without client)","Lunch","00:36:59","0.6163888888888889","0.0"
"Miscellaneous/Unindentified","(Without client)","Tea time","00:29:15","0.4875","0.0"
"Miscellaneous/Unindentified","(Without client)","IDK","00:30:00","0.5","0.0"
"Naps","(Without client)","Power Nap","01:03:00","1.05","0.0"
"Office Hours","(Without client)","TA hours","01:15:00","1.25","0.0"
"School work","(Without client)","(Without description)","01:39:00","1.65","0.0"
"School work","(Without client)","Study for exam","00:25:18","0.4216666666666667","0.0"
"Work shift","(Without client)","Workshift","01:00:00","1.0","0.0"
"Work shift","(Without client)","Tutoring","00:54:00","0.9","0.0"
